0:18   -   https://shop.mango.com/co/mujer/destacados/rebajas_d14760544
      + 0:18:47   -   Vestido estampado cinturón
      + 0:18:47   -   Vestido plisado satinado
      + 0:18:47   -   Americana 100% lino
      + 0:18:47   -   Vestido satinado escote pico
      + 0:18:47   -   Pantalón pinzas algodón
      + 0:18:47   -   Vestido algodón volante
      + 0:18:47   -   Pantalón fluido estampado
      + 0:18:47   -   Vestido modal oversize
      + 0:18:47   -   Blusa manga abullonada estampada
      + 0:18:47   -   Blusa manga abullonada estampada
      + 0:18:47   -   Camisa algodón cuello babydoll
      + 0:18:47   -   Americana cuadros vichy
      + 0:18:47   -   Camisa satinada estampada
      + 0:18:47   -   Vestido detalle fruncido
      + 0:18:47   -   Vestido detalle fruncido
      + 0:18:47   -   Botín piel tacón
      + 0:18:47   -   Americana crop lyocell
      + 0:18:47   -   Vestido estampado cinturón
      + 0:18:47   -    Camiseta hombreras algodón orgánico
      + 0:18:47   -   Vestido denim mangas abullonadas
      + 0:18:47   -   Pantalón recto traje
      + 0:18:47   -   Camiseta manga fruncida
      + 0:18:47   -   Vestido estampado flores
      + 0:18:47   -   Short 100% lino
      + 0:18:47   -   Vestido detalles fruncidos 
      + 0:18:47   -   Camisa fluida botones
      + 0:18:47   -   Vestido estampado tirantes
      + 0:18:47   -   Jersey punto multicolor
      + 0:18:47   -   Pantalón recto pinzas
      + 0:18:47   -   Pantalón 100% lino
      + 0:18:47   -   Polo punto trenzado
      + 0:18:47   -   Camiseta algodón blonda
      + 0:18:47   -   Blusa textura lazo
      + 0:18:47   -   Blusa textura lazo
      + 0:18:47   -   Top estampado volante
      + 0:18:47   -   Vestido estampado manga abullonada
      + 0:18:47   -   Camisa denim manga abullonada
      + 0:18:47   -   Pantalón culotte estampado
      + 0:18:47   -   Vestido satinado escote pico
      + 0:18:47   -   Vestido volante bajo
      + 0:18:48   -   Pantalón algodón cintura elástica
      + 0:18:48   -   Vestido algodón cuadro vichy
      + 0:18:48   -   Short algodón cintura elástica
      + 0:18:48   -   Short denim contraste
      + 0:18:48   -   Blusa fluida estampado floral
      + 0:18:48   -   Chaleco punto cuello pico
      + 0:18:48   -   Vestido textura volante
      + 0:18:48   -   Cárdigan detalles calados
      + 0:18:48   -   Pantalón culotte algodón
      + 0:18:48   -   Botín cremallera tacón
      + 0:18:48   -   Camiseta algodón volantes
      + 0:18:48   -   Jeans skinny tiro alto Soho  
      + 0:18:48   -   Vestido rayas volante
      + 0:18:48   -   Minifalda efecto piel
      + 0:18:48   -   Camisa algodón cuello babydoll
      + 0:18:48   -   Camiseta mangas abullonadas
      + 0:18:48   -   Jersey punto combinado
      + 0:18:48   -   Jersey punto asimétrico 
      + 0:18:48   -   Jeans wideleg crop
      + 0:18:48   -   Minifalda cruzada flores
      + 0:18:48   -   Vestido calado algodón
      + 0:18:49   -   Americana traje estructurada
      + 0:18:49   -   Zapato tacón efecto coco
      + 0:18:49   -   Americana crepé cinturón
      + 0:18:49   -   Jeans Mom-fit 100% algodón
      + 0:18:49   -   Camiseta crop manga larga
      + 0:18:49   -   Vestido corto textura
      + 0:18:49   -   Bota piel caña alta
      + 0:18:49   -   Pantalón recto pinzas
      + 0:18:49   -   Jeans tiro alto Wideleg
      + 0:18:49   -   Pantalón fluido cordón
      + 0:18:49   -   Cárdigan lazo cruzado
      + 0:18:49   -   Cárdigan lazo cruzado
      + 0:18:49   -   Camiseta algodón rayas
      + 0:18:49   -   Jeans rectos tobilleros
      + 0:18:50   -   Vestido fluido volantes
      + 0:18:50   -   Jersey detalle fruncido
      + 0:18:50   -   Vestido volante bajo
      + 0:18:51   -   Americana 100% lino
      + 0:18:51   -   Falda midi volantes
      + 0:18:51   -   Pantalón 100% lyocell
      + 0:18:51   -   Camiseta algodón canalé
      + 0:18:51   -   Jersey punto fino
      + 0:18:52   -   Chaleco punto ochos
      + 0:18:52   -   Vestido estampado manga abullonada
      + 0:18:52   -   Pantalón cintura elástica
      + 0:18:53   -   Top plisado abertura
      + 0:18:53   -   Americana entallada bolsillos
      + 0:18:53   -   Pantalón culotte algodón
      + 0:18:54   -   Americana traje estructurada
      + 0:18:54   -   Pantalón algodón cintura elástica
      + 0:18:55   -   Pantalón fluido estampado
      + 0:18:55   -   Camisa rayas oversize
      + 0:18:56   -   Chaqueta estilo kimono
      + 0:18:56   -   Chaqueta tweed bolsillos
