21:10   -   https://shop.mango.com/co/mujer/destacados/nuevo_d18713172
      + 21:18:57   -   Falda lápiz algodón
      + 21:18:57   -   Vestido punto cuello vuelto
      + 21:18:58   -   Pantalón jogger cordón
      + 21:18:58   -   Bolso cruzado solapa
      + 21:18:58   -   Blusa 100% algodón
      + 21:18:58   -   Camiseta sin mangas algodón
      + 21:18:58   -   Short 100% algodón estampado
      + 21:18:59   -   Camisa algodón oversize
      + 21:18:59   -   Camisa cuello babydoll
      + 21:18:59   -   Jersey canalé cremallera
      + 21:18:59   -   Blusa crop estampada
      + 21:18:59   -   Pantalón cintura elástica
      + 21:19:0   -   Sudadera capucha canalé
      + 21:19:0   -   Riñonera efecto coco
      + 21:19:0   -   Camiseta básica escote pico
      + 21:19:0   -   Bolso abatanado solapa
      + 21:19:1   -   Short algodón bolsillos
      + 21:19:1   -   Cazadora denim algodón
      + 21:19:1   -   Leggings básicos
      + 21:19:1   -   Cárdigan punto fino
      + 21:19:1   -   Bolso shopper tejido vichy
      + 21:19:2   -   Vestido punto calado
      + 21:19:2   -   Blusa algodón bordado suizo
      + 21:19:2   -   Sandalia tiras nudos
      + 21:19:2   -   Top lencero estampado
